index_code,date,close,previous_close,category
H30269.CSI,20250410,10838.954,10777.0133,up
H30269.CSI,20250411,10787.0443,10838.954,flat
H30269.CSI,20250414,10874.5854,10787.0443,up
H30269.CSI,20250415,10997.3913,10874.5854,up
H30269.CSI,20250416,11092.5416,10997.3913,up
H30269.CSI,20250417,11105.36,11092.5416,flat
H30269.CSI,20250418,11126.957,11105.36,flat
H30269.CSI,20250421,11055.186,11126.957,down
H30269.CSI,20250422,11118.1093,11055.186,up
H30269.CSI,20250423,11065.8913,11118.1093,flat
H30269.CSI,20250424,11180.8293,11065.8913,up
H30269.CSI,20250425,11160.1247,11180.8293,flat
H30269.CSI,20250428,11215.7669,11160.1247,flat
H30269.CSI,20250429,11183.8026,11215.7669,flat
H30269.CSI,20250430,10971.4835,11183.8026,down
H30269.CSI,20250506,10989.8017,10971.4835,flat
H30269.CSI,20250507,11086.3512,10989.8017,up
H30269.CSI,20250508,11144.8682,11086.3512,up
H30269.CSI,20250509,11220.361,11144.8682,up
H30269.CSI,20250512,11225.6825,11220.361,flat
H30269.CSI,20250513,11341.6468,11225.6825,up
H30269.CSI,20250514,11408.4634,11341.6468,up
H30269.CSI,20250515,11361.2502,11408.4634,flat
H30269.CSI,20250516,11291.2705,11361.2502,down
H30269.CSI,20250519,11315.2715,11291.2705,flat
H30269.CSI,20250520,11355.5872,11315.2715,flat
H30269.CSI,20250521,11419.0487,11355.5872,up
H30269.CSI,20250522,11471.2389,11419.0487,flat
H30269.CSI,20250523,11381.436,11471.2389,down
H30269.CSI,20250526,11338.1181,11381.436,flat
H30269.CSI,20250527,11347.4312,11338.1181,flat
H30269.CSI,20250528,11402.55,11347.4312,flat
H30269.CSI,20250529,11381.564,11402.55,flat
H30269.CSI,20250530,11420.3111,11381.564,flat
H30269.CSI,20250603,11539.2017,11420.3111,up
H30269.CSI,20250604,11585.3733,11539.2017,flat
H30269.CSI,20250605,11493.1267,11585.3733,down
H30269.CSI,20250606,11503.0106,11493.1267,flat
H30269.CSI,20250609,11508.6044,11503.0106,flat
H30269.CSI,20250610,11522.101,11508.6044,flat
H30269.CSI,20250611,11533.3473,11522.101,flat
H30269.CSI,20250612,11570.5681,11533.3473,flat
H30269.CSI,20250613,11457.8901,11570.5681,down
H30269.CSI,20250616,11522.9117,11457.8901,up
H30269.CSI,20250617,11496.2152,11522.9117,flat
H30269.CSI,20250618,11563.4999,11496.2152,up
H30269.CSI,20250619,11532.3805,11563.4999,flat
H30269.CSI,20250620,11574.3579,11532.3805,flat
H30269.CSI,20250623,11639.5817,11574.3579,up
